Success! Successfully connected to the database.
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1020, 'Cd_TipoVacina': 1008, 'Cd_CentroVacinacao': 41, 'Dt_Fabricacao': datetime.datetime(2025, 3, 15, 11, 59, 53, 343541), 'Dt_Validade': datetime.datetime(2025, 12, 10, 11, 59, 53, 343541), 'Nu_QuantidadeAmpolas': 100}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1016, 'Cd_TipoVacina': 1008, 'Cd_CentroVacinacao': 66, 'Dt_Fabricacao': datetime.datetime(2024, 8, 22, 15, 1, 11, 787875), 'Dt_Validade': datetime.datetime(2025, 5, 19, 15, 1, 11, 787875), 'Nu_QuantidadeAmpolas': 50}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1018, 'Cd_TipoVacina': 1006, 'Cd_CentroVacinacao': 47, 'Dt_Fabricacao': datetime.datetime(2024, 7, 8, 23, 12, 6, 654564), 'Dt_Validade': datetime.datetime(2025, 7, 8, 23, 12, 6, 654564), 'Nu_QuantidadeAmpolas': 100}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1016, 'Cd_TipoVacina': 1010, 'Cd_CentroVacinacao': 79, 'Dt_Fabricacao': datetime.datetime(2024, 7, 22, 3, 34, 48, 993438), 'Dt_Validade': datetime.datetime(2025, 1, 18, 3, 34, 48, 993438), 'Nu_QuantidadeAmpolas': 50}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1018, 'Cd_TipoVacina': 1008, 'Cd_CentroVacinacao': 57, 'Dt_Fabricacao': datetime.datetime(2024, 6, 21, 21, 50, 27, 234908), 'Dt_Validade': datetime.datetime(2025, 3, 18, 21, 50, 27, 234908), 'Nu_QuantidadeAmpolas': 100}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1018, 'Cd_TipoVacina': 1010, 'Cd_CentroVacinacao': 64, 'Dt_Fabricacao': datetime.datetime(2024, 10, 30, 4, 51, 35, 287244), 'Dt_Validade': datetime.datetime(2025, 4, 28, 4, 51, 35, 287244), 'Nu_QuantidadeAmpolas': 100}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1031, 'Cd_TipoVacina': 1005, 'Cd_CentroVacinacao': 58, 'Dt_Fabricacao': datetime.datetime(2025, 4, 19, 1, 40, 2, 859763), 'Dt_Validade': datetime.datetime(2025, 10, 16, 1, 40, 2, 859763), 'Nu_QuantidadeAmpolas': 30}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1014, 'Cd_TipoVacina': 1007, 'Cd_CentroVacinacao': 53, 'Dt_Fabricacao': datetime.datetime(2025, 6, 13, 13, 43, 43, 941719), 'Dt_Validade': datetime.datetime(2026, 9, 6, 13, 43, 43, 941719), 'Nu_QuantidadeAmpolas': 100}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1019, 'Cd_TipoVacina': 1005, 'Cd_CentroVacinacao': 55, 'Dt_Fabricacao': datetime.datetime(2024, 9, 18, 2, 15, 48, 612764), 'Dt_Validade': datetime.datetime(2025, 3, 17, 2, 15, 48, 612764), 'Nu_QuantidadeAmpolas': 100}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1031, 'Cd_TipoVacina': 1008, 'Cd_CentroVacinacao': 64, 'Dt_Fabricacao': datetime.datetime(2025, 2, 18, 14, 26, 53, 600199), 'Dt_Validade': datetime.datetime(2025, 11, 15, 14, 26, 53, 600199), 'Nu_QuantidadeAmpolas': 100}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1016, 'Cd_TipoVacina': 1010, 'Cd_CentroVacinacao': 44, 'Dt_Fabricacao': datetime.datetime(2025, 3, 4, 22, 18, 5, 888773), 'Dt_Validade': datetime.datetime(2025, 8, 31, 22, 18, 5, 888773), 'Nu_QuantidadeAmpolas': 50}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1020, 'Cd_TipoVacina': 1008, 'Cd_CentroVacinacao': 74, 'Dt_Fabricacao': datetime.datetime(2025, 3, 21, 19, 20, 33, 830348), 'Dt_Validade': datetime.datetime(2025, 12, 16, 19, 20, 33, 830348), 'Nu_QuantidadeAmpolas': 100}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1012, 'Cd_TipoVacina': 1007, 'Cd_CentroVacinacao': 56, 'Dt_Fabricacao': datetime.datetime(2024, 10, 9, 1, 36, 50, 82717), 'Dt_Validade': datetime.datetime(2026, 1, 2, 1, 36, 50, 82717), 'Nu_QuantidadeAmpolas': 100}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1016, 'Cd_TipoVacina': 1005, 'Cd_CentroVacinacao': 43, 'Dt_Fabricacao': datetime.datetime(2024, 7, 5, 17, 1, 4, 353117), 'Dt_Validade': datetime.datetime(2025, 1, 1, 17, 1, 4, 353117), 'Nu_QuantidadeAmpolas': 50}
Success! Successfully inserted data into Lote: {'Cd_Fabrica': 1019, 'Cd_TipoVacina': 1009, 'Cd_CentroVacinacao': 80, 'Dt_Fabricacao': datetime.datetime(2024, 10, 1, 17, 49, 37, 495905), 'Dt_Validade': datetime.datetime(2025, 3, 30, 17, 49, 37, 495905), 'Nu_QuantidadeAmpolas': 100}
